,News,Category
2501,Why do you get so many sex metaphors out of cricket?.Something primal and deep is at work. And could be linked to the most cherished South Asian male fantasies.,humour
3559,An Indian researcher has made affordable cancer detection possible using tech.India needs more researchers like Kedar Khare who can work on all aspects of science.,tech
18368,Rapists go unpunished in badlands of Bodh Gaya.Can an already struggling state's tourism industry recover from this blow?,politics
18424,Mythology of conversion.Why Hindus never converted but now want to reconvert.,politics
2473,#IndvsSA: Ravindra Jadeja's winning formula revealed.It's hair-raising!,humour
18588,"Sushmaji, our Constitution is our National Book.A country once divided upon religious lines, cannot afford to exalt into statecraft, any holy text, majority or minority, into an identity marker of nationhood.",politics
360,"TM Krishna: The concert and the questions.In choosing to sing of all gods with passion, Krishna has evoked an age-old Indian tradition. He’s also left his critics fuming, which is a wonderful note to strike.",Arts
18928,Our netas enjoy mass support even in jail.It is near impossible to fight criminalisation of politics if people continue to repose faith in politicians even after conviction by a court of law.,politics
18383,Modi has had a great impact on J&K.He has pushed the sub-regional divides into the background and brought the integral character of the state to the fore.,politics
18882,J&K floods: BJP's rivals see messiah in Modi.The electoral prospects of BJP in poll-bound Jammu and Kashmir look good.,politics
3255,What to know about Samsung Galaxy S9 and S9+.The latest range of smartphones will be unveiled at Samsung's Unpacked event on February 25.,tech
1420,"My six-month struggle to get a credit card in digital, cashless India.Addresses in posh colonies simply do not make one honest as even the likes of Vijay Mallya did not pay bank dues despite all verifications.",business
1014,"Farewell Dileep Padgaonkar, my friend and mentor.Thank you for all you gave me as a person and professional.",business
785,How a short film on Bhopal pays a poignant tribute to an age when women ruled the state.Begamon ka Bhopal is a lyrical ode to a forgotten time.,Arts
3341,5 Android games of 2017 you can't get enough of.Top picks that the Google Play Store has to offer.,tech
19011,Bilawal Bhutto: God save us from pappu politicians.Not only do they have a tenuous grasp of history but also of their family's role in it.,politics
1896,"Petrified Pakistan: Our shivering neighbour accuses India of plotting fresh attack. Why so scared, Pak?.The 'guftgu' of the Pak foreign minister sounds more like astrological predictions than hard facts based on intel inputs. But what's truly clear is their fear!",humour
19057,"When my nation is always right.Why I fret about an increasingly illiberal, irritable and sometimes petulant new India.",politics
4601,"Who will take responsibility for Sreesanth's loss of name and cricketing years?.In the last two years, he stayed strong by not throwing in the towel and kept his faith.",sports
290,"In an age of fake news, why Tintin is the reporter-hero we need.Tintin was no macho Sunny Deol who'd beat his enemies to pulp for purely personal reasons. He believed in dialogue and seeking the truth. We'd do well to revisit this young journalist who just turned 90.",Arts
1384,"GST: Why one nation, one tax is problematic for India.Service sector companies now face the daunting prospect of having to deal with not just one by 30 tax administrations.",business
2880,"You better watch out, you better not shout: Santa Modi is coming to town.Our cartoonist sketches the landscape of Indian politics with his wicked pen.",humour
660,"The secret to Shashi Tharoor’s vocabulary.His love for the English language began with the big little magazine, the Reader’s Digest.",Arts
18768,"Delhi polls: It's advantage BJP.With a fledgling AAP struggling to gain credibility and a completely demoralised Congress due to its leadership crisis at all levels, the writing on the wall is clear.",politics
1315,How Indian economy can recover from the disaster of demonetisation and GST.The buoyant mood of consumers is the only therapy to this excruciating slowdown.,business
18655,"CBI has failed us, we need a new Act.The CBI is a moth-bitten, under-resourced, personality led organisation, not immune from political and other pressures.",politics
1313,Modi govt gave India achhe din with a broken GST and failed demonetisation.The PM's two biggest gambits have done nothing to revitalise the economy.,business
1038,Why this Covid-19 lockdown is time to prepare for a brand-new tomorrow.The future world will likely be more interdependent and willing to trade-off economic prosperity in favour of human life.,business
1072,When Mohan Bhagwat asked 'swadeshi yani kya hai' in the age of Made in China.Is the sarsanghchalak inkling towards a change in RSS's commitment to swadeshi economics?,business
4300,Ethiopian medallist led a protest at Rio Olympics that could cost him his life.Feyisa Lilesa raised his arms into an X - a gesture condemning the repression of the Oromo people in Ethiopia.,sports
1638,5 things to keep in mind before buying a house in India.Be careful before you start feeling at home.,business
18837,"National Unity Day: Why we need to celebrate Mountbatten along with Sardar Patel.Even as India commemorates Sardar Patel’s achievements in integrating the princely states, the crucial role that Lord Mountbatten played in the process must not be forgotten.",politics
3795,TechCrib: Why do we need to spoil Twitter by sharing videos over it?.What's bothering Siddhartha Sharma this week.,tech
3265,"India Today social media editor on why Facebook down ranking news is flawed at multiple levels.Bad news for everyone, especially Indians.",tech
1406,Politics of farm loan waivers and how it's increasing agricultural distress.The blame falls finally on the farmers themselves!,business
1267,Don't get fooled again: RBI made 14 types of Rs 10 coins.And all of them are 100 per cent valid.,business
18109,"Delhi polls: Five lessons the BJP must learn from its campaign.No matter who wins the Delhi elections on February 10, five things are clear for the party.",politics
160,From virgin-shaming to begging: Why Brienne Of Tarth deserved better in GoT S8 Ep4.Several things went wrong in the first four episodes in terms of storyline and war strategies. But nothing else was as infuriating as the way Brienne of Tarth was projected!,Arts
4108,"Wimbledon 2017: Title 19 for Roger Federer at SW 19. Fedex is unstoppable.For the record, the tennis star won the title without losing a set, a feat which had been last achieved by Bjorn Borg in the wooden racquet age!",sports
3514,"In a world of identical black smartphones, Nokia lets you design your own 3310.Artists have time till May 10 to submit their entries.",tech
182,"Soorma. Taveez. Pathan suit: Why Muslim men in Hindi cinema need a totally new wardrobe.Every Muslim man, ever written into a Hindi movie, has inescapable markers of his religion. Karan Johar's 'Kalank' plays up this stereotype hugely too. Is this depiction drawn from laziness? Lack of awareness? Or something else?",Arts
702,"Swapan Seth on his top five picks of India Art Fair 2018.Art expert and member of jury, India Today Art Awards lists why Manisha Baswani, Zarina Hasmi among others made the cut.",Arts
2105,"Tiger Zinda Hai: The real 'story' behind another epic Salman Khan movie.Being human is the world’s 'greatest gas', after all.",humour
18754,Why Modi must uphold Nehru's legacy.Can the prime minister shake off his parochialism to absorb the myriad colours of India?,politics
209,The war of 'saving cinema' between the classicists and the streaming giant.Alfonso Cuarón’s Roma broke a wall that has prompted Steven Spielberg to call for streaming  services’ exclusion from the film awards,Arts
18658,Five lessons from the Rohtak sisters who thrashed their molesters.Don't infantilise sexual harassment by calling it eve-teasing.,politics
840,Smriti Irani effect: How Sexy Durga and Nude stirred a storm at International Film Festival.That I&B ministry is acting as a censorship body isn’t lost on anybody.,Arts
18374,NITI Aayog shows how practical Modi is.Planning Commission should have wound up when the government decided to move towards more decentralised governance.,politics
2331,"Your horrorscope for June, 2016.Don't believe the truth.",humour
3374,"iOS 11 goes live: All the new features you should know about.The OS update will be available for iPhone 5s and later, iPad Air and iPad Pro, and iPod touch 6th generation.",tech
3422,5 smash hit smartphones of 2017 (and why they worked).The year has seen some good Android devices being launched in every segment.,tech
18376,"So who is Abdul Ghani Bhat, the man who met Mufti?.From burning down temples in the 1980s to now criticising the hypocrisy of hardline separatists, Bhat has come a long way.",politics
2096,"Better late than never: India’s secret practice match before the final Test.After being criticised from all quarters, better sense seems to have prevailed.",humour
69,"The New Aamir Khan: How Akshay Kumar is slowly but steadily dethroning the 'thinking Khan'.Christmas of 2020, expect to see Aamir at the movies. But alongside, there will be Akshay Kumar. And there's more to the box office clash than meets the eye!",Arts
416,"Of bisons, rappers and Gujju boys: Tales from Arunachal's Ziro festival.Erratic phone signals, no broadband — one enters the Ziro bubble for four days and forgets about the world.",Arts
4432,"Mushfiqur tweet: Bangladesh will never stop abusing India.It was shocking, especially coming from a former captain of the neighbouring country's cricket team.",sports
18230,"Don't be fooled, Obama isn't visiting India for any love – the money and the guns behind the man are.The US president isn't visiting India to sample Nihari or to snap selfies in front of the Taj Mahal.",politics
2328,Pahlaj Nihalani is right. Udta Punjab can't fly.Drugs di (Jai) mata di.,humour
4897,Is Virat Kohli a better captain than Dhoni?.The heart-throb of Indian cricket has gone about the stand-in captaincy job with flair and feel.,sports
1424,Why effect of demonetisation on GDP did not show up now.Data on parts of the economy that are most susceptible to a move like the noteban is not yet available.,business
4638,Lalit Modi row: Can we talk about corruption in cricket now?.The ex-IPL chief’s passport is not a matter of public interest. Transparency in Indian cricket certainly is.,sports
1984,"What happens when you eat more than six French Fries? You go against a Harvard professor's advice.Count your fries, not blessings!",humour
18284,"Good god, man: MSG to finally release.Why cannot Indians be discerning enough to choose what they want to view in cinemas?",politics
3458,5 reasons why OnePlus 5 may be worth buying.Everything we know about the phone so far sounds compelling.,tech
18698,"Mamata could give Modi his worst headache.Decades of battling Left goons has made Didi a tough street-fighter, she will give PM a tough time in the Centre as well as in the state.",politics
4028,"Why outrage over Aizawl FC U-15 team forced to travel on train floor is hypocritical.In order to improve sport, we have to wholeheartedly support it and take not just take sporadic offence.",sports
19015,"The resurrection of Sachin Pilot.One step at a time, he is trying to revive his party in Rajasthan.",politics
179,"PM Modi Biopic: Will the controversial film also resurrect Vivek Oberoi's Bollywood career?.From a promising career in 2002 to no Bollywood hits since 2013, Vivek Oberoi's career has been going steadily downhill. A lot more than politics thus rides on his latest movie",Arts
4409,"Make no mistake, Leicester City's Premier League win no flash in the pan.To the new champion's bespectacled Italian manager Ranieri must go the credit of turning base metal into gold.",sports
2668,"[Satire] Why Shivraj Singh Chouhan's new ban is eggcellent.From a higher GDP to easier land acquisition and reduced outlay on fighting terror, the measure promises a trayful of benefits.",humour
1872,"Guilt Trips: It's not just PM Modi. We Indians are so critical of taking holidays!.We believe in austerity. If you are suffering, you must be a good being. There is no question of taking a break to chill. Even if you're on vacation.",humour
2786,[Spoof video] See how Kohli makes Pakistani fan wear Indian jersey.Shudh Desi Endings has come out with a spoof video in response to the Star Sports ad for the upcoming India versus UAE match.,humour
3655,Top 3 smartphones with bad cameras.These gadgets don't take a great photo and hence are falling behind competitors.,tech
2784,One advice in this video can change Rahul Gandhi's political fortunes for good.Dilliwalas give earnest and entertaining ideas for Congress vice-president. Which one should he follow?,humour
18491,"The missing Hindus in South Asia and a conspiracy of silence.Civil society, media and the government of India have all remained mute spectators while this human tragedy has been unfolding right in their backyard.",politics
1976,"Stop attacking General Rawat: He understands women, and the Army, better than you ever can.Women might complain of jawans peeping while they change. But the Army is busy keeping the nation safe. It can’t be distracted in keeping its own employees safe.",humour
3364,The best power banks you can buy right now.Five sturdy devices you can turn to when your phone's battery fails you.,tech
18567,"Conversion, Peace Nobel and a birthday boy called Dilip Kumar.The tragedy king would have felt like a dwarf if he compared the tragedies he faced on screen with the idea of a secular India today.",politics
18783,"J&K poll: Valley warms up for a winter of BJP.Interestingly, these days, the BJP doesn’t talk about abrogation of the Article 370 in Kashmir.",politics
3549,What has impressed Microsoft's Satya Nadella about India?.He even raised a toast to Modi's Make in India project.,tech
391,"If Taimur's pictures are up for sale, yes, I'm buying.Let's not kid ourselves. If Taimur is on a headline, we click",Arts
18226,"What Sunanda Pushkar told me.Sunanda texted me the night before she died, saying that she was very upset with what Mehr Tarar had said on my show.",politics
18597,Why banning Uber in Delhi is a ridiculous joke.Does the city government actually believe this will help solve the malaise of crimes against women?,politics
18630,"Don't shame item girls: Bharat, our country is named after an item girl's grandson.If crypto-Wahabis are trying to turn Bharatvarsh into a fiefdom of ISIS or the Taliban, it's time they're reminded of such facts.",politics
18442,Modi tsunami alert: Destruction and disaster ahead.The PM's inability to rein in the loud elements of the Sangh Parivar increasingly gives the impression that this is not the case of inability but of complicity.,politics
1549,"32 lakh ATM cards hacked: How, why, where (and what you should do).Apparently, the security breach was not identified in any of SBI’s systems.",business
204,"Navin Nischol: A star who brightened our cinema in the 1970s.Nischol made a mark for himself through his near-flawless performances, that adorable smile and those flirtatious eyes — something few Hindi film heroes of the time can boast of.",Arts
3544,"4G doesn't work - but Jio, Airtel already fighting for 5G.Telecom giants should rather focus on improving basic network coverage.",tech
2765,"Why is Kejriwal afraid of acupuncture? Because it stings.While Delhi CM is practicing naturopathy at the Jindal Nature Cure Institute in the outskirts of Bangalore, AAP has been in news over a controversy regarding a leaked phone conversation.",humour
3004,"Indonesian Tsunami: Be it earthquakes or volcanoes, nothing spares the archipelago from deluge.The latest tsunami in Indonesia is yet another product of the geographical disadvantage that the country has, because of being located on the Pacific Ring of Fire",tech
18557,"What made Shenaz reply to my open letter?.20 women are raped in India every day. We have 20 chances a day to write open letters, not just before the release of a film.",politics
1537,Why you should not buy gold this Dhanteras.India Today's Devina Gupta on making smart investments during the festive season.,business
1487,"Is the Tata-Mistry spat heading towards a truce?.However, it doesn’t signal end of the battle, since the issues Mistry raised will continue to reverberate in the Tata boardrooms.",business
2649,"Comedy of errors: India goes into Myanmar; I go to Lahore.It's absolute fun when you are an Indian in Pakistan, especially when there is an ongoing war of words between the not-so-friendly neighbours.",humour
2403,If Aamir Khan acts with Sunny Leone....Action!,humour
18674,Maharashtra politics: Sena's season of dissent.Party has begun giving the BJP and the new chief minister a hard time.,politics
3362,How foldable displays will change smartphones forever.Foldable displays bring with them endless possibilities that would plunge smartphone truly into the future.,tech
18697,"Murli Deora knew how to get things done and with class.He seldom spoke. But when he did, he was heard with close attention.",politics
259,"Enough Drama: Why we don't need political commentary masquerading as a movie review.A film review ought to be about the technical aspects of the film, irrespective of who it is based on and what it glorifies.",Arts
4204,"Why Rs 14.5 crore for Ben Stokes is a bargain.He's the key to not just Pune's fortunes, but to IPL's too.",sports
4043,"Should India give up its number one Test team title?.The hurt, as Virat Kohli himself said, is less in the defeat, than in the lack of fight.",sports
1247,"What does Union Budget 2018 hold for the youth?.Phones, education, income tax and cryptocurrency — something for everyone.",business
2577,"Hey media, why are you giving me that news?.It's not news if there's no conspiracy behind it.",humour
2373,"Bye-bye police force, Bassi. Hello BJP?.The outgoing chief has already received a parting kick from the Delhi High Court.",humour
652,"Khwaja Moinuddin Chisti's Urs: Why death anniversaries of Sufi saints are celebrated as weddings.When death is a time to rejoice, and not to grieve.",Arts
18726,"Rajinikanth is best for jokes, not politics.He’s making the right noises to join politics. But will the momentum of the film be enough to carry him through to 2016?",politics
173,"The Other Mr Bharat: John Abraham's desh-prem movies are consistently delighting the box office.John Abraham, with his good looks and rugged physique, has managed to crack the code of a sure-fire hit — nationalism!",Arts
3620,What makes an iPhone launch such a big draw.Apple has created a cult following that reached phenomenal levels since the unveiling of its iconic smartphone brand in 2007.,tech
4813,Cricket World Cup 2015: India gives a smashing reply to UAE.Indian fans come up with an awesome video in response to the 'Mauka Mauka' ad for the upcoming clash against UAE on February 28.,sports
4437,"As a Sachin fan I feel let down. Is this how we treat legends?.Kohli has to traverse a long distance, before we can even think of a comparison.",sports
947,"How Priyanka Chopra is helping her mother produce films.For Madhu Chopra, who runs the family business of cosmetic surgery, film production was diving into an unknown territory.",Arts
18165,"Delhi polls: Five reasons how Congress can spoil AAP and BJP plans.It clearly appears that both the BJP and the AAP have been complacent against the Congress in their campaigning approach, in the assumption that the party is not even in the fray.",politics
4589,"How Saina Nehwal can give India the perfect Independence Day gift.At her own military camp, the badminton star is both the commander and the soldier.",sports
3670,Why smartphone companies are going out of their way for a better camera.Consumers now want a solution that allows them to post better-looking photos on their Instagram or Facebook feeds.,tech
915,"Of Ramlila, Mughals and kullas: Into Shahjahanabad's wondrous alleys.The city that Abu Sufiyan and Ashok live in.",Arts
2839,"Open letter to Obama's dog, world's most important pet.Bo, do you like to stick your neck out of the window and make passing remarks to the rest of your doggie clan like ""I own this country bitches"".",humour
3538,"Jio, Airtel, Idea, Vodafone - do you know the best 4G data plan for you?.Here's a simple guide.",tech
18385,"Pakistan may not attempt another 26/11, expect smaller attacks.They can spread panic among people in a matter of hours and tie down local and national security apparatus for days.",politics
2085,"Tiger Shroff is a meme again, only this time it's his action figure.It looks nothing like the star. Nothing at all.",humour
2252,"Hello, you fool: A mimic's phone call gets 29 babus transferred in Tamil Nadu.Some men just want to watch the world burn.",humour
3952,"Asian Games 2018: From poverty to podium, the story of Indian athletes.The Indian contingent won 15 gold medals in Jakarta but not before many of their families put their gold, silver and bronze on the line to bring them here.",sports
1531,"Don't listen to your father, stop investing in PPF.Equity Linked Schemes are better in almost every way.",business
2640,#MySalaryIsLike is trending on Twitter. And it is hilarious.Have you got your appraisal already?,humour
4117,"Mithali Raj will easily break many records in women's cricket, but sadly not gender prejudice.The Indian skipper is undoubtedly one of India's best sport stars.",sports
1944,Why don’t we have Sanjay Kapoor’s confidence!.It doesn’t matter if you don’t know who he is. All that matters is this man's swag!,humour
4277,"Why is BCCI defying Lodha panel?.If the recommendations become an overreach, instead of clearing the game of evil influences they will leave it debilitated.",sports
18436,"No, the acid attacker isn't a jilted lover, he is just a criminal.It's time we do away with the ""all's fair in love"" refrain from such acts of barbarism.",politics
3900,"Dear Virat Kohli, I implore you to understand the value of water.India is facing one of the worst summers of severe water deprivation. Using running water for washing cars is just not right. Indeed, you, an icon, should teach us to conserve every drop.",sports
18905,Why Sharad Pawar can't be trusted.Pawar has sadly become a symbol of why contemporary politics is steeped in cynicism.,politics
2600,Why the world loves to hate Donald Trump.Don't miss this compilation on the one-man firing squad.,humour
3833,"Big is the new small, for smartphones that is.People have stopped caring that some of the smallest flagship phones are significantly larger than their predecessors.",tech
2427,"29 quotes from Bollywood and Hollywood (recycled) for writers.[Book extract] What if lead characters had been literary sensations instead of cops, criminals or taxi drivers?",humour
2946,"After India went to Mars, China will go to Uranus?.“Uranus is cold,” Xi Jinping pointed out to stunned mediapersons. “And Uranus is windy.”",humour
4697,IPL 8: Delhi Daredevils have let their fans down.Duminy’s captaincy has not been inspirational at all and the side has failed to get the right mix for most matches.,sports
2166,"Kids, BJP MLC is right! Momos are dangerous.Nobody can eat just one.",humour
3930,"Hardik Pandya and KL Rahul suspended for talking crass: BCCI is now Indian cricket's moral police. Appalling!.Hardik Pandya and KL Rahul were suspended over their comments on the TV show, Koffee with Karan.",sports
3264,"Beyond Bitcoin: How blockchain technology will revolutionise India's future.From banking to polls to Aadhaar, it will impact everything.",tech
2666,Ravi Shastri returns!.And so does his major problem.,humour
3665,India must not dilly-dally on building a space shuttle.This is only possible if ISRO engages international partners and motivates the Indian industry to participate.,tech
19029,"Plants, frames and false implication.Arun Ferreira and Vernon Gonsalves were both arrested in 2007 and spent several years in prison on charges of being members of a banned Maoist organization",politics
4080,"What a football match taught me about new India.At the FIFA U-17 cup, an assertive patriotism is on display, while the Northeast shows it's the country's sports powerhouse.",sports
3381,Why Google's takeover of HTC could be Android's very own iPhone moment.The mere potential of this deal is enough to get the Android faithful excited about the future of the ecosystem.,tech
4719,"Why the much cursed Indian Premier League is a necesary evil.Be it Shane Watson or our very own Suresh Raina, they have used the Indian Premier League to relaunch their international careers.",sports
3494,All eyes on OnePlus 5: Can it beat the top 5 camera phones in India?.Let's look at the competition OnePlus 5 faces.,tech
1099,Part II. NYAY complements PM-KISAN in fighting poverty and inequality.Global thinking has changed with increasing acceptance of income transfer initiatives like NYAY and PM-KISAN to fight poverty and inequality. This part of the series focuses on the UN and India’s fight against hunger and inequality.,business
18704,"Incurring the DRDO's rath.It should disturb us all gravely that a motorised battery-powered chariot is the level of ""technology"" the DRDO feels proud to pass on.",politics
2154,How Dhinchak Pooja influenced the jilted nagin dancer from Shahjahanpur.The innocent folly of unpolished genius.,humour
2249,"[Poem] A fictional Congress member pours his heart out after being left out of hackathon.'Maybe I should forget the 2G scam. / For then, I’ll earn your boo.'",humour
18094,"Delhi elections: Media should not be allowed to run opinion polls.To the common viewer, the demographic determinants and other local variants would neither be clear nor relevant.",politics
4314,"Srikanth will make India proud at Olympics if only he overcomes this one flaw.If the shuttler is able to breach the Great Wall of Lin Dan in Rio, it would be a giant leap for Indian badminton.",sports
